destination country,destination city,description,time,year,year_aggregate
Venezuela,Caracas,Attended OAS General Assembly meeting.,"June 1–2, 1998",1998,2000
Switzerland,Geneva,Discussed the India-Pakistan nuclear crisis with the Foreign Ministers of the permanent member states of the UN Security Council.,"June 4, 1998",1998,2000
United Kingdom,London,Discussed the South Asian nuclear crisis and the Kosovo crisis with the G-8 Foreign Ministers.,"June 12, 1998",1998,2000
China,"Xian, Beijing, Shanghai, Guilin, Hong Kong",Accompanied President Clinton on a State Visit.,"June 25–July 3, 1998",1998,2000
Japan,Tokyo,Met with Prime Minister Hashimoto and Foreign Minister Obuchi.,"July 3–4, 1998",1998,2000
Philippines,Manila,Attended ASEAN Regional Forum and Post Ministerial Conference. Met with Russian Foreign Minister Primakov.,"July 26–29, 1998",1998,2000
Papua New Guinea,Port Moresby,Met with Prime Minister Skate and announced additional U.S. humanitarian assistance.,"July 29, 1998",1998,2000
Australia,Sydney,Attended Australia-U.S. Ministerial Meeting.,"July 29–August 1, 1998",1998,2000
New Zealand,Auckland,Met with Prime Minister Shipley.,"August 1, 1998",1998,2000
Italy,Rome,Was to have attended wedding of Spokesman James Rubin; returned to Washington after bombings of U.S. Embassies in Kenya and Tanzania.,"August 7, 1998",1998,2000
Germany,"Ramstein Air Force Base, Landstuhl",Visited Embassy personnel wounded in the bombings in Kenya and Tanzania; accompanied the dead back to the United States.,"August 12–13, 1998",1998,2000
Tanzania,Dar es Salaam,Visited site of the U.S. Embassy.,"August 18, 1998",1998,2000
Kenya,Nairobi,Visited site of the U.S. Embassy and met with President Moi.,"August 18, 1998",1998,2000
Croatia,Zagreb,Met with President Tudjman and Croatian politicians and journalists.,"August 29–30, 1998",1998,2000
Bosnia-Herzegovina,"Bijeljina, Sarajevo, Tuzla","Met with Bosnian, Bosnian Serb, and NATO officials.","August 30–31, 1998",1998,2000
Russia,Moscow,Attended U.S.-Russian Summit Meeting.,"August 31–September 3, 1998",1998,2000
Austria,Vienna,Official visit. Attended U.S.-European Union ministerial meeting and addressed the OSCE Permanent Council.,"September 3, 1998",1998,2000
Israel,Jerusalem,Discussed the Middle East peace process with Prime Minister Netanyahu.,"October 6–7, 1998",1998,2000
Palestinian Authority,"Jericho, Erez",Discussed the Middle East peace process with Chairman Arafat.,"October 6, 1998",1998,2000
Belgium,Brussels,Discussed the Kosovo crisis with NATO officials.,"October 7–8, 1998",1998,2000
United Kingdom,London,Discussed the Kosovo crisis with Contact Group Foreign Ministers.,"October 8, 1998",1998,2000
Malaysia,Kuala Lumpur,Attended APEC Ministerial Meeting and met with the wife of former Deputy Prime Minister Anwar Ibrahim.,"November 14–15, 1998",1998,2000
Belgium,Brussels,"Attended NATO Ministerial meeting, and ministerial meetings of the Euro-Atlantic Partnership Council, NATO-Russia Permanent Joint Council, and NATO-Ukraine Commission.","December 8–9, 1998",1998,2000
France,"Lyon, Paris",Announced opening of the American Presence Post in Lyon. Met with President Chirac and senior French officials.,"December 9–10, 1998",1998,2000
Israel,"Jerusalem, Masada",Accompanied President Clinton.,"December 12–15, 1998",1998,2000
Palestinian Authority,"Gaza, Erez","Accompanied President Clinton. On December 15, attended meeting with Prime Minister Netanyahu and Chairman Arafat.","December 14–15, 1998",1998,2000
Jordan,Amman,Discussed the Middle East peace process with Crown Prince Hassan.,"December 15, 1998",1998,2000
Russia,Moscow,Discussed strategic arms limitations and the Kosovo crisis with Prime Minister Primakov.,"January 25–27, 1999",1999,2000
Egypt,Cairo,Discussed the Iraq crisis with President Mubarak and Foreign Minister Moussa.,"January 27, 1999",1999,2000
Saudi Arabia,"Riyadh, Prince Sultan Air Base",Discussed the Iraq crisis with King Fahd and senior Saudi officials and addressed U.S. military personnel.,"January 27–28, 1999",1999,2000
Jordan,Amman,Briefed Crown Prince Abdullah on the Iraq crisis.,"January 28, 1999",1999,2000
United Kingdom,London,Attended a meeting of Contact Group Foreign Ministers.,"January 28–29, 1999",1999,2000
United Kingdom,London,Attended a meeting of Contact Group Foreign Ministers.,"February 5, 1999",1999,2000
France,"Paris, Rambouillet",Met with Contact Group Foreign Ministers and with the delegations to the Kosovo peace conference.,"February 13–14, 1999",1999,2000
Mexico,Merida,Accompanied President Clinton during a State Visit.,"February 15, 1999",1999,2000
France,"Paris, Rambouillet",Attended the Kosovo peace conference.,"February 20–23, 1999",1999,2000
China,Beijing,Met with President Jiang Zemin and senior Chinese officials.,"February 28–March 2, 1999",1999,2000
Thailand,"Chiang Mai, Bangkok",Visited the Hill Tribes Institute in Chiang Mai; met with senior Thai officials.,"March 2–4, 1999",1999,2000
Indonesia,Jakarta,Met with senior Indonesian officials and East Timor leader Xanana Gusmao.,"March 4–5, 1999",1999,2000
United Kingdom,London,Discussed the U.S. peace plan for Kosovo with special envoy Dole and Foreign Secretary Cook.,"March 6, 1999",1999,2000
Guatemala,Antigua Guatemala,Attended Central American Summit Meeting.,"March 10–11, 1999",1999,2000
Belgium,Brussels,Attended NATO Ministerial meeting on the Kosovo crisis.,"April 11–13, 1999",1999,2000
Norway,Oslo,Met with Russian Foreign Minister Ivanov.,"April 13, 1999",1999,2000
Belgium,Brussels,Accompanied President Clinton to meetings with senior NATO officials.,"May 4, 1999",1999,2000
Germany,Bonn,Attended a G-8 Foreign Ministers meeting on the Kosovo conflict.,"May 4–6, 1999",1999,2000
Germany,"Bonn, Cologne",Attended a G-8 Foreign Ministers meeting on the Kosovo conflict and the G-8 and U.S.-EU Ministerial meetings; met with Kosovar political leaders.,"June 6–11, 1999",1999,2000
Belgium,Brussels,Briefed senior NATO officials on the Kosovo peace agreement.,"June 8, 1999",1999,2000
"Macedonia, Former Yugoslav Republic of","Skopje, Stenkovec I",Visited a refugee camp and addressed U.S. military personnel.,"June 11, 1999",1999,2000
Finland,Helsinki,Met with the Russian Foreign and Defense Ministers to discuss a Russian role in peacekeeping in Kosovo; met with President Atisaari.,"June 17–18, 1999",1999,2000
France,Paris,Met with senior French officials.,"June 19–20, 1999",1999,2000
Germany,Cologne,Attended G-8 Economic Summit meeting.,"June 20–21, 1999",1999,2000
Slovenia,Ljubljana,Accompanied President Clinton and met with Montenegrin President Djukanovic.,"June 21–22, 1999",1999,2000
Bulgaria,Sofia,Working visit.,"June 22, 1999",1999,2000
Romania,Bucharest,Working visit.,"June 22, 1999",1999,2000
Austria,Vienna,Vacation.,"July 1–10, 1999",1999,2000
Japan,Tokyo,Stopped en route to ASEAN Ministerial meetings.,"July 23–24, 1999",1999,2000
Singapore,Singapore,"Attended ASEAN Regional Forum, ASEAN Post-Ministerial Conference, and trilateral ministerial consultations with Japan and South Korea. Met with Russian Foreign Minister Ivanov.","July 24–27, 1999",1999,2000
Bahrain,Dhahran,Stopped en route to Rome.,"July 27, 1999",1999,2000
Italy,"Rome, Aviano",Met with Foreign Minister Dini. Joined President Clinton July 30 at Aviano Air Force Base for visit to Sarajevo.,"July 28–30, 1999",1999,2000
Vatican City,,Met with Secretary for Relations with States Tauran.,"July 28, 1999",1999,2000
Serbia-Montenegro (Kosovo),Pristina,"Met with UN and NATO officials, U.S. military personnel, and representatives of the people of Kosovo.","July 29, 1999",1999,2000
Bosnia-Herzegovina,Sarajevo,Attended Stability Pact Leaders Conference.,"July 30, 1999",1999,2000
Italy,Aviano,Stopped en route to U.S. from Sarajevo.,"July 30, 1999",1999,2000
Morocco,Rabat,Met with King Mohammed VI and Prime Minister Youssoufi.,"September 1–2, 1999",1999,2000
Egypt,Alexandria,"Met with President Mubarak, Foreign Minister Moussa, and Palestinian Authority Chairman Arafat.","September 2, 1999",1999,2000
Israel,"Tel Aviv, Jerusalem",Discussed the Israeli-Palestinian peace process with senior Israeli officials.,"September 2–4, 1999",1999,2000
Palestinian Authority,Gaza,Discussed the Israeli-Palestinian peace process with senior Palestinian Authority officials.,"September 3, 1999",1999,2000
Syria,Damascus,Discussed the Israeli-Palestinian peace process with President Assad and Foreign Minister Sharaa.,"September 4, 1999",1999,2000
Lebanon,Beirut,Met with Prime Minister al-Hoss.,"September 4, 1999",1999,2000
Egypt,Sharm el-Sheikh,Attended the signing of the Israel-Palestinian Peace Process Agreement.,"September 4, 1999",1999,2000
Israel,Jerusalem,Overnight stop before traveling to Turkey.,"September 4–5, 1999",1999,2000
Turkey,"Istanbul, Izmit",Discussed disaster relief with Foreign Minister Cem.,"September 5, 1999",1999,2000
Vietnam,"Hanoi, Ho Chi Minh City",Met with senior Vietnamese officials and opened new U.S. Consulate General in Ho Chi Minh City.,"September 6–8, 1999",1999,2000
New Zealand,Auckland,Attended APEC Ministerial and Leaders meetings.,"September 8–13, 1999",1999,2000
Guinea,Conakry,Met with President Conte.,"October 18, 1999",1999,2000
Sierra Leone,"Freetown, Murray Town","Met with President Kabbah, former rebel leaders, and ECOMOG and UNOMSIL officials; visited the Amputee and War Wounded Camp at Murray Town.","October 18, 1999",1999,2000
Mali,Bamako,Met with President Konare and reviewed ACRI forces.,"October 18–19, 1999",1999,2000
Nigeria,"Abuja, Kano","Met with President Obasanjo, senior Nigerian officials, representatives of ECOWAS, and officials and political leaders of northern Nigeria.","October 19–20, 1999",1999,2000
Kenya,Nairobi,Met with President Moi and inaugurated a new Embassy building. Also met with IGAD representatives and representatives of Sudanese civil society.,"October 20–23, 1999",1999,2000
Tanzania,Dar es Salaam,Attended the state funeral of former President Nyerere. Met with President Mkapa and President Buyoya of Burundi.,"October 21, 1999",1999,2000
Norway,Oslo,Accompanied President Clinton on a State visit to commemorative ceremony for former Israeli Prime Minister Rabin.,"November 1–2, 1999",1999,2000
Turkey,"Ankara, Ephesus, Istanbul",Accompanied President Clinton on a State visit; attended OSCE Summit meeting in Istanbul.,"November 14–19, 1999",1999,2000
Greece,Athens,Accompanied President Clinton on a State visit.,"November 19–20, 1999",1999,2000
Italy,Florence,Accompanied President Clinton to conference on Progressive Governance for the 21st Century.,"November 20–21, 1999",1999,2000
Slovakia,Bratislava,"Met with President Schuster, Prime Minister Dzurinda, and other senior officials.","November 22, 1999",1999,2000
Bulgaria,Sofia,Joined President Clinton for meetings with senior Bulgarian officials.,"November 22–23, 1999",1999,2000
Serbia-Montenegro (Kosovo),Pristina,Accompanied President Clinton; visited refugee camps.,"November 23, 1999",1999,2000
Saudi Arabia,Riyadh,Met with King Fahd and Crown Prince Abdullah.,"December 6–7, 1999",1999,2000
Syria,Damascus,Met with President Assad and Foreign Minister Sharaa.,"December 7, 1999",1999,2000
Israel,Jerusalem,Met with Prime MInister Barak and senior Israeli officials.,"December 7–9, 1999",1999,2000
Palestinian Authority,"Bethlehem, Ramallah",Met with Chairman Arafat.,"December 8, 1999",1999,2000
Egypt,Sharm el-Sheikh,Met with President Mubarak and Foreign Minister Moussa.,"December 9, 1999",1999,2000
Germany,Berlin,Attended G-8 Foreign Ministers meeting; met with President Djukanovic of Montenegro and Serbian opposition leaders.,"December 17, 1999",1999,2000
France,Paris,Met with Foreign Minister Vedrine.,"December 17–18, 1999",1999,2000
Colombia,Cartagena,Discussed anti-narcotics assistance with President Pastrana.,"January 14–15, 2000",2000,2000
Panama,Panama City,Met with President Moscoso; visited Panama Canal.,"January 15, 2000",2000,2000
Mexico,Oaxaca,Met with Foreign Minister Green.,"January 15–16, 2000",2000,2000
Switzerland,Davos,Attended meeting of the World Economic Forum.,"January 29–31, 2000",2000,2000
Russia,Moscow,Official visit; led U.S. delegtaion to Multilateral Steering Group.,"January 31–February 2, 2000",2000,2000
Croatia,Zagreb,Met with Prime Minister Racan and Croatian political leaders.,"February 2, 2000",2000,2000
Croatia,Zagreb,Led the U.S. delegation to the inauguration of President Mesic. Met with Serbian opposition leaders.,"February 18–19, 2000",2000,2000
Albania,Tirana,Met with President Meidani and Prime Minister Meta; addressed the Albanian Parliament.,"February 19, 2000",2000,2000
Portugal,Lisbon,Attended U.S.-European Union Ministerial meeting.,"March 4–5, 2000",2000,2000
Czech Republic,"Prague, Brno, Hodinin","Met with President Havel and senior officials, commemorated the 150th birthday of former President Thomas Masaryk; met with representatives of Serbian NGOs.","March 5–8, 2000",2000,2000
Bosnia-Herzegovina,"Sarajevo, Brcko, Banja Luka",Met with Bosnian political leaders and International community representatives; inaugurated Brcko Statute.,"March 8–9, 2000",2000,2000
Belgium,Brussels,Met with European Union representatives; dedicated new USEU chancery.,"March 9–10, 2000",2000,2000
Italy,Venice,"Attended Aspen Institute Italia ""European Dialogue"" conference; met with Foreign Minister Dini.","March 18–19, 2000",2000,2000
India,"New Delhi, Agra",Accompanied President Clinton.,"March 19–23, 2000",2000,2000
Bangladesh,Dhaka,Accompanied President Clinton.,"March 20, 2000",2000,2000
Switzerland,Geneva,Addressed the UN Human Rights Commission; met with Foreign Minister Deiss.,"March 23, 2000",2000,2000
India,Mumbai (Bombay),Accompanied President Clinton.,"March 24–25, 2000",2000,2000
Pakistan,Islamabad,Accompanied President Clinton to meetings with President Musharraf and senior officials.,"March 25, 2000",2000,2000
Oman,Muscat,Accompanied President Clinton.,"March 25, 2000",2000,2000
Switzerland,Geneva,Accompanied President Clinton to meetings with President Assad of Syria.,"March 26, 2000",2000,2000
Ukraine,Kiev,Met with President Kuchma and Foreign Minister Trasyuk.,"April 14–15, 2000",2000,2000
Kazakhstan,"Astana, Almaty",Official visit. Met with President Nazarbayev and senior officials.,"April 15–16, 2000",2000,2000
Kyrgyzstan,Bishkek,Official visit. Met with President Akayev.,"April 16, 2000",2000,2000
Uzbekistan,"Tashkent, Samarkand, Bukhara","Met with President Kamilov, senior officials, and members of non-governmental organizations.","April 16–19, 2000",2000,2000
Italy,Florence,"Attended NATO Foreign Ministers' meeting; NATO-Russia Permanent Joint Council, Euro-Atlantic Partnership Council, and NATO-Ukraine Commission meetings.","May 24–26, 2000",2000,2000
United Kingdom,London,Addressed the London School of Economics.,"May 26, 2000",2000,2000
Portugal,Lisbon,Accompanied President Clinton to the U.S.-EU Summit Meeting and to a meeting with Israeli Prime Minister Barak.,"May 30–June 1, 2000",2000,2000
Germany,"Berlin, Aachen",Accompanied President Clinton.,"June 1–3, 2000",2000,2000
Russia,Moscow,Accompanied President Clinton to a Summit meeting.,"June 3–5, 2000",2000,2000
Israel,Jerusalem,Discussed the Middle East peace process with Prime Minister Barak and senior Israeli officials.,"June 5–7, 2000",2000,2000
Palestinian Authority,Ramallah,Discussed the Middle East peace process with Chairman Arafat.,"June 6, 2000",2000,2000
Egypt,Cairo,"Met with President Mubarak and the Foreign Ministers of Egypt, Syria, and Oman.","June 7, 2000",2000,2000
Ireland,Shannon,Stopped en route return to Washington.,"June 7, 2000",2000,2000
Syria,Damascus,Attended the funeral of President Assad.,"June 13, 2000",2000,2000
China,Beijing,Met with President Jiang Zemin and senior Chinese officials.,"June 22–23, 2000",2000,2000
"Korea, Republic of",Seoul,Met with President Kim Dae Jung and senior Korean officials.,"June 23–24, 2000",2000,2000
Poland,"Warsaw, Gdansk",Attended Ministerial Panel on Democracy and International Organizations and the World Forum on Democracy; received an honorary degree from the University of Gdansk.,"June 24–27, 2000",2000,2000
Israel,Jerusalem,Discussed the Middle East peace process with Prime Minister Barak and senior Israeli officials.,"June 27–29, 2000",2000,2000
Palestinian Authority,Ramallah,Discussed the Middle East peace process with Chairman Arafat.,"June 28, 2000",2000,2000
Germany,Berlin,Delivered an address on democracy in the Balkans.,"June 29, 2000",2000,2000
Thailand,Bangkok,Attended ASEAN Regional Forum and Post-Ministerial Conference; met with North Korean Foreign Minister Paek Nam Sun.,"July 28–29, 2000",2000,2000
Japan,"Tokyo, Miyazaki",Met with Prime Minister Mori and Foreign Minister Kono; attended the dedication of Albright Hall in Miyazaki.,"July 29–31, 2000",2000,2000
Russia,Yekaterinburg,Stopped en route to Rome.,"July 31, 2000",2000,2000
Italy,Rome,Met with Foreign Minister Dini and Montenegrin President Djukanovic.,"July 31–August 2, 2000",2000,2000
Vatican City,,Briefed Foreign Minister Tauran on the Middle East peace process.,"August 1, 2000",2000,2000
Ireland,Shannon,Stopped en route to the United States.,"August 2, 2000",2000,2000
Brazil,Brasilia,Met with President Cardoso and Foreign Minister Lampreia.,"August 15, 2000",2000,2000
Argentina,Buenos Aires,Met with President De la Rua and Foreign Minister Giavarini.,"August 15–17, 2000",2000,2000
Chile,Santiago,Met with President Lagos and Foreign Minister Alvear.,"August 17–18, 2000",2000,2000
Bolivia,La Paz,Met with President Banzer and Foreign Minister de la Rocha.,"August 18, 2000",2000,2000
Ecuador,Quito,Met with President Noboa and the Foreign and Defense Ministers.,"August 18–19, 2000",2000,2000
Netherlands,Curacao (Antilles),Stopped en route to Washington.,"August 19, 2000",2000,2000
Colombia,Cartagena,Accompanied President Clinton.,"August 30, 2000",2000,2000
Iceland,"Reykjavik, Keflavik",Discussed NATO issues with Foreign Minister Asgrimsson.,"September 30, 2000",2000,2000
France,"Bordeaux, Paris",Opened American Presence Post at Bordeaux; attended U.S.-EU Ministerial Meeting and met with President Chirac.,"October 1–3, 2000",2000,2000
Germany,Dresden,Attended ceremonies commemorating the 10th anniversary of German reunification.,"October 3, 2000",2000,2000
France,Paris,Discussed the Israeli-Palestinian conflict with Prime Minister Barak and Chairman Arafat.,"October 3–5, 2000",2000,2000
Egypt,Sharm el-Sheikh,"Discussed the Israeli-Palestinian conflict with President Mubarak, Foreign Minister Moussa, and Chairman Arafat.","October 5, 2000",2000,2000
Egypt,Sharm el-Sheikh,Accompanied President Clinton to the Israeli-Palestinian Summit Meeting.,"October 16–17, 2000",2000,2000
Saudi Arabia,Riyadh,Discussed the Middle East peace process with King Fahd and senior officials; also met with Syrian President Bashar Assad.,"October 17–18, 2000",2000,2000
"Korea, North",Pyongyang,Met with President Kim Jong Il and senior officials.,"October 23–25, 2000",2000,2000
"Korea, Republic of",Seoul,Met with President Kim Dae Jung and the Foreign Ministers of South Korea and Japan.,"October 25–26, 2000",2000,2000
Brunei Darussalam,Bandar Seri Begawan,Accompanied President Clinton to the APEC Leaders' Meeting.,"November 14–16, 2000",2000,2000
Austria,Vienna,Attended OSCE Ministerial Council meeting.,"November 26–27, 2000",2000,2000
Mexico,"Mexico, D.F.",Led the U.S. delegation to the inauguration of President Fox.,"November 30–December 2, 2000",2000,2000
South Africa,"Cape Town, Pretoria",Met with President Mbeki and Foreign Minister Zuma; delivered addresses on public health issues.,"December 7–9, 2000",2000,2000
Mauritius,Port Louis,Met with Prime Minister Jugnauth.,"December 9–10, 2000",2000,2000
Botswana,Gaborone,Met with President Mogai and Foreign Minister Marafhe.,"December 10–12, 2000",2000,2000
Algeria,Algiers,Witnessed the signing of the Ethiopia-Eritrea Peace Agreement.,"December 12, 2000",2000,2000
Hungary,Budapest,Met with Prime Minister Orban and Foreign Minister Martony; received an honorary degree from Szeged University.,"December 12–13, 2000",2000,2000
Belgium,Brussels,Attended NATO and NATO-Russia Permanent Joint Council Ministerial meetings.,"December 13–16, 2000",2000,2000
Spain,Madrid,Met with King Juan Carlos and signed Joint Declaration.,"January 11, 2001",2001,2005
Mexico,San Cristobal,Accompanied President Bush to a meeting with President Fox.,"February 16, 2001",2001,2005
Egypt,Cairo,Met with senior Egyptian officials and with Russian Foreign Minister Ivanov.,"February 24, 2001",2001,2005
Israel,"Tel Aviv, Jerusalem",Met with Prime Minister-elect Sharon and senior Israeli officials.,"February 24–25, 2001",2001,2005
Palestinian Authority,Ramallah,Met with Chairman Arafat.,"February 25, 2001",2001,2005
Jordan,Amman,Met with King Abdullah II.,"February 25, 2001",2001,2005
Kuwait,Kuwait City,Attended ceremonies commemorating the 10th anniversary of the liberation of Kuwait.,"February 25–26, 2001",2001,2005
Saudi Arabia,Riyadh,Met with senior Saudi officials.,"February 26, 2001",2001,2005
Syria,Damascus,Met with President Bashar Assad and senior Syrian officials.,"February 26, 2001",2001,2005
Belgium,Brussels,Met with NATO Foreign Ministers.,"February 26–27, 2001",2001,2005
France,Paris,"Met with Contact Group Foreign Ministers, with Russian Foreign Minister Ivanov and with President Chirac.","April 11–12, 2001",2001,2005
"Macedonia, Former Yugoslav Republic of",Skopje,"Met with the Foreign Ministers of Croatia, Hungary, Bosnia, Slovenia, Romania, Albania, Greece, and Turkey, and with Macedonian political leaders. Later met with the UN Administrator for Kosovo and with Kosovo political leaders.","April 12–13, 2001",2001,2005
Bosnia-Herzegovina,Sarajevo,"Met with the Collective Presidency, Bosnian political leaders, and with NATO and OSCE officials.","April 13, 2001",2001,2005
Ireland,Shannon,Stopped en route retaurn to Washington.,"April 13, 2001",2001,2005
Canada,Quebec,Accompanied President Bush to the Summit of the Americas.,"April 20–22, 2001",2001,2005
Mali,Bamako,Met with President Konare and toured the Malaria Research and Training Center at the University of Mali.,"May 23–24, 2001",2001,2005
South Africa,Pretoria,Met with President Mbeki and delivered an address at Witwatersrand University.,"May 24–25, 2001",2001,2005
Kenya,Nairobi,"Met with President Moi, Kenyan civil and political leaders, and UN and NGO representatives.","May 25–27, 2001",2001,2005
Uganda,Kampala,Met with President Museveni and Ugandan political leaders.,"May 27–28, 2001",2001,2005
Hungary,Budapest,Attended North Atlantic Council ministerial meetings.,"May 28–30, 2001",2001,2005
Spain,Madrid,Accompanied President Bush.,"June 12–13, 2001",2001,2005
Belgium,Brussels,Accompanied President Bush to NATO Summit Meeting.,"June 13–14, 2001",2001,2005
Sweden,Goteborg,Accompanied President Bush to U.S.-EU Summit Meeting.,"June 14–15, 2001",2001,2005
Poland,Warsaw,Accompanied President Bush during a State Visit.,"June 15–16, 2001",2001,2005
Slovenia,Ljubljana,"Accompanied President Bush to meetings with President Kucan, Prime Minister Drnovsek, and Russian President Putin.","June 16, 2001",2001,2005
Egypt,Alexandria,Met with President Mubarak and Foreign Minister Maher.,"June 27, 2001",2001,2005
Israel,Jerusalem,Met with Prime Minister Sharon and Foreign Minister Peres.,"June 27–28, 2001",2001,2005
Palestinian Authority,Ramallah,Met with Chairman Arafat.,"June 28, 2001",2001,2005
Jordan,Amman,Met with King Abdullah II.,"June 29, 2001",2001,2005
France,Paris,Met with Saudi Arabian Crown Prince Abdullah.,"June 29, 2001",2001,2005
Italy,Rome,Attended G-8 Foreign Ministers’ Meeting.,"July 17–19, 2001",2001,2005
Japan,Tokyo,Met with Prime Minister Koizumi and senior officials.,"July 23–24, 2001",2001,2005
Vietnam,Hanoi,Attended ASEAN Regional Forum and Post-Ministerial Conference.,"July 24–27, 2001",2001,2005
"Korea, Republic of",Seoul,Met with President Kim Dae-Jung and senior officials.,"July 27–28, 2001",2001,2005
"China, People’s Republic of",Beijing,Met with President Jiang Zemin and senior officials.,"July 28–29, 2001",2001,2005
Australia,Canberra,Attended Australia-U.S. Ministerial Meeting.,"July 29–30, 2001",2001,2005
Peru,Lima,Attended OAS General Assembly meeting.,"September 10–11, 2001",2001,2005
Pakistan,Islamabad,Discussed cooperation against terrorism with President Musharraf and senior officials.,"October 15–16, 2001",2001,2005
India,New Delhi,Discussed cooperation against terrorism with Prime Minister Vajpayee and senior officials.,"October 16–17, 2001",2001,2005
"China, People’s Republic of",Shanghai,Attended APEC Summit Meeting.,"October 17–21, 2001",2001,2005
Romania,Bucharest,Attended OSCE Ministerial Council Meeting.,"December 4–5, 2001",2001,2005
Turkey,Ankara,Met with Foreign Minister Cem and senior officials.,"December 5, 2001",2001,2005
Belgium,Brussels,Attended NATO Ministerial Meeting; addressed EU Justice and Home Affairs Council.,"December 5–7, 2001",2001,2005
Uzbekistan,Tashkent,Met with President Karimov and senior officials.,"December 7–8, 2001",2001,2005
Kazakhstan,Astana,Met with President Nazarbayev and senior officials.,"December 8–9, 2001",2001,2005
Russia,Moscow,"Met with President Putin, Foreign Minister Ivanov, and senior officials.","December 9–10, 2001",2001,2005
Germany,Berlin,Met with Chancellor Schroeder and Foreign Minister Fischer.,"December 10–11, 2001",2001,2005
France,Paris,Met with President Chirac and Foreign Minister Vedrine.,"December 11, 2001",2001,2005
United Kingdom,London,Met with Prime Minister Blair and Foreign Minister Straw.,"December 11, 2001",2001,2005
Pakistan,Islamabad,Met with President Musharraf and senior officials. Returned to Pakistan after visiting Afghanistan.,"January 15–17, 2002",2002,2005
Afghanistan,Kabul,Met with leaders of the Afghan Interim Authority. Announced the upgrading of the U.S. Liaison Office to Embassy status.,"January 17, 2002",2002,2005
India,New Delhi,"Met with Prime Minister Vajpayee, Foreign Minister Singh, and senior officials.","January 17–18, 2002",2002,2005
Nepal,Kathmandu,Met with Prime Minister Deuba and senior officials.,"January 18, 2002",2002,2005
Japan,Tokyo,Attended the International Conference on Reconstruction Assistance to Afghanistan.,"January 19–21, 2002",2002,2005
Bahamas,Nassau,Attended a meeting of CARCICOM Foreign Ministers.,"February 6–7, 2002",2002,2005
Japan,Tokyo,Accompanied President Bush.,"February 18–19, 2002",2002,2005
"Korea, Republic of",Seoul,Accompanied President Bush.,"February 19–21, 2002",2002,2005
China,Beijing,Accompanied President Bush.,"February 21–22, 2002",2002,2005
Mexico,Monterrey,Accompanied President Bush to the UN Conference on International Development.,"March 21–22, 2002",2002,2005
Peru,Lima,"Accompanied President Bush to meetings with the Presidents of Peru, Colombia, and Bolivia, and the Vice President of Ecuador.","March 22–23, 2002",2002,2005
El Salvador,San Salvador,Accompanied President Bush to meetings with Central American heads of state.,"March 24, 2002",2002,2005
Morocco,Casablanca,Met with senior Moroccan and Saudi officials.,"April 8–9, 2002",2002,2005
Egypt,Cairo,Met with President Mubarak and Foreign Minister Maher.,"April 9, 2002",2002,2005
Spain,Madrid,Attended U.S.-EU Ministerial Meeting. Met with UN Secretary-General Annan and Russian Foreign Minister Ivanov. Signed Defense Cooperation agreements with Spain.,"April 9–11, 2002",2002,2005
Jordan,Amman,Met with King Abdullah II and Foreign Minister Muasher.,"April 11–12, 2002",2002,2005
Israel,"Tel Aviv, Jerusalem, Safed","Met with Prime Minister Sharon, Foreign Minister Peres, and senior Israeli officials.","April 12–15, 2002",2002,2005
Palestinian Authority,Ramallah,Met with Chairman Arafat.,"April 14, 2002",2002,2005
Lebanon,Beirut,"Met with President Lahoud, Prime Minister Hariri and Foreign Minister Hammoud.","April 15, 2002",2002,2005
Syria,Damascus,Met with President Assad and Foreign Minister Sharaa.,"April 15, 2002",2002,2005
Israel,Jerusalem,Continued meetings with Israeli officials and Palestinian representatives.,"April 16–17, 2002",2002,2005
Palestinian Authority,Ramallah,Met with Chairman Arafat.,"April 17, 2002",2002,2005
Egypt,Cairo,Met with the Foreign Ministers of Egypt and Jordan.,"April 17, 2002",2002,2005
Canada,Gander (Newfoundland),Gave an interview en route to Iceland.,"May 13, 2002",2002,2005
Iceland,Reykjavik,Attended NATO Foreign Ministers’ Meeting and meetings of the NATO-Ukraine Commission and Euro-Atlantic Partnership Council. Also met with Russian Foreign Minister Ivanov.,"May 13–15, 2002",2002,2005
Germany,Berlin,Accompanied President Bush.,"May 22–23, 2002",2002,2005
Russia,"Moscow, St. Petersburg",Accompanied President Bush to a Summit Meeting.,"May 23–26, 2002",2002,2005
France,Paris,Accompanied President Bush.,"May 26–28, 2002",2002,2005
Italy,Rome,Accompanied President Bush to a NATO Summit Meeting and the inauguration of the NATO-Russia Council.,"May 28, 2002",2002,2005
Vatican City,,Met with Secretary of State Sodano.,"May 28, 2002",2002,2005
Barbados,Bridgetown,Attended OAS General Assembly and signed the Inter-American Convention Against Terrorism.,"June 2–3, 2002",2002,2005
Canada,Whistler (British Columbia),Attended a G-8 Foreign Ministers’ Meeting.,"June 12–13, 2002",2002,2005
India,New Delhi,Met with Prime Minister Vajpayee and senior officials.,"July 26–28, 2002",2002,2005
Pakistan,Islamabad,Met with President Musharraf and senior officials.,"July 28, 2002",2002,2005
Thailand,Bangkok,Met with Foreign Minister Sathirathai.,"July 28–29, 2002",2002,2005
Malaysia,Kuala Lumpur,Met with Prime Minister Mahathir and Foreign Minister Albar.,"July 29–30, 2002",2002,2005
