destination country,destination city,description,time,year,year_aggregate
Israel,Jerusalem,Met with Prime Minister Benjamin Netanyahu.,"March 31–April 1, 2014",2014,2015
Palestinian Authority,Ramallah,Met with President Mahmoud Abbas.,"March 31, 2014",2014,2015
Belgium,Brussels,Attended the NATO Foreign Ministerial Meeting and meetings of the NATO-Ukraine and NATO-Georgia Commissions. Co-chaired the 5th U.S.-EU Energy Council Meeting.,"April 1–2, 2014",2014,2015
Algeria,Algiers,Co-chaired the U.S.-Algeria Strategic Dialogue.,"April 3, 2014",2014,2015
Morocco,Rabat,Co-chaired the U.S.-Morocco Strategic Dialogue.,"April 3–4, 2014",2014,2015
Switzerland,Geneva,"Discussed the Ukrainian crisis with representatives of Russia, Ukraine, and the European Union. Discussed the Syrian crisis with Joint Special Representative Lakhdar Brahimi.","April 16–17, 2014",2014,2015
Ethiopia,Addis Ababa,Co-convened the 4th Session of the U.S.-AU High Level Dialogue. Met with Somali President Hassan Sheikh Mohamud.,"April 30–May 3, 2014",2014,2015
South Sudan,Juba,"Met with President Salva Kiir, civil society leaders and UNMISS representatives.","May 2, 2014",2014,2015
"Congo, Democratic Republic of",Kinshasa,"Met with Foreign Minister Raymond Tshibanda, participants in the Young Africa Leaders Initiative UN Special Representative Martin Kobler, and President Joseph Kabila.","May 3–4, 2014",2014,2015
Angola,Luanda,Met with President Jose Eduardo dos Santos and Foreign Minister Georges Chikoli. Visited a GE facility.,"May 4–5, 2014",2014,2015
United Kingdom,London,Attended a meeting of the London 11 (Friends of the Syrian People) and the Syrian Opposition Coalition.,"May 15–16, 2014",2014,2015
Mexico,Mexico City,"Met with President Enrico Pena Nieto and Foreign Secretary Jose Antonio Meade. Attended a Joint Bilateral Forum on Higher Education, Innovation, and Research; a CleanTech Challenge Launch event, and a U.S.-Mexico CEO Dialogue dinner.","May 21–22, 2014",2014,2015
Poland,Warsaw,Accompanied President Obama. Signed a Framework Agreement on Innovation. Met with Ukrainian President-elect Petro Poroshenko.,"June 3–4, 2014",2014,2015
Lebanon,Beirut,Met with Prime Minister Tammam Salam. Participated in a round-table with non-governmental organizations.,"June 4, 2014",2014,2015
France,"Paris, Normandy, St. Briac",Accompanied President Obama. Took part in commemorations of the 70th anniversary of the Normandy invasion.,"June 5–7, 2014",2014,2015
United Kingdom,London,Attended the Global Summit to end Sexual Violence in Combat.,"June 13, 2014",2014,2015
Egypt,Cairo,"Met with President Abdel Fattah al-Sisi, Foreign Minister Sameh Shoukry, and Arab League Secretary-General Nabil al-Araby.","June 22, 2014",2014,2015
Jordan,Amman,Met with Foreign Minister Nasser Judeh.,"June 22, 2014",2014,2015
Iraq,"Baghdad, Erbil","Met with President Nouri al-Maliki and Iraqi political leaders, and with Kurdistan regional leaders in Erbil.","June 23–24, 2014",2014,2015
